b bgt,box_x,box_y,box_z,f_sweep_start,f_sweep_stop,detuning_hz_sim_result,Q_sim_result,use_PLL,PLL_filter_BW_cycles,f_sweep_rate,orientation,periodic_bc,particle_dia,force_amp,grav_y,num_damping,damp_gravity,num_damp_fix,time_step,ball_gen_method,settled_packing,seed,packing_factor_bg8,verlet_dist,q_Factor,beam_length,beam_height,pocket_height,pocket_len,pocketLoc1,pocketLoc2,pocketLoc2_Y,mode_num,modal_method,beam_kappa,beam_young,solution_method,q_guess,force_method,base_excitation,distribution,restitution_coeff,cn,beta_n,wall_frict_angle,sphere_frict_angle,include_vel_scale,young_mod,poisson,normalCohesion,n_windows_per_pocket,sidewall_frict,Mindlin_Type,eta_roll,roll_frict,timestep_val,StokesDrag,BottomWallKFactor,DMT_gamma,DMT_cutoff,comment,,,,,,,,,,,,,,,,,,
1,0.0005,0.0013,0.0005,50000,50000.01,0,0,0,10,1,0,0,0.00005,0.0001,0,0,1,0,-1,3,,1,nan,-0.1,200,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
2,0.0005,0.0013,0.0005,50000,50000.01,0,0,0,10,1,0,0,0.00005,0.0001,-9.81,0,1,0,-1,3,,1,nan,-0.1,200,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
3,0.0005,0.0013,0.0005,50000,50000.01,0,0,0,10,1,0,0,0.00005,0.00001,-9.81,0,1,0,-1,3,,1,nan,-0.1,200,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
4,0.0005,0.0013,0.0005,50000,50000.01,0,0,0,10,1,0,0,0.00005,0.001,-9.81,0,1,0,-1,3,,1,nan,-0.1,200,0.178,0.00635,0.0013,0.0178,0.078,0,0,2,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
5,0.0005,0.0013,0.0005,50000,50000.01,0,0,0,10,1,0,0,0.00005,0.000025,-9.81,0,1,0,-1,3,,1,nan,-0.1,200,0.178,0.00635,0.0013,0.0178,0.078,0,0,3,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
6,0.0005,0.0013,0.0005,50000,50000.01,0,0,0,10,1,0,0,0.00005,0.00005,-9.81,0,1,0,-1,3,,1,nan,-0.1,200,0.178,0.00635,0.0013,0.0178,0.078,0,0,3,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
7,0.0005,0.0013,0.0005,50000,50000.01,0,0,0,10,1,0,0,0.00005,0.0001,-9.81,0,1,0,-1,3,,1,nan,-0.1,200,0.178,0.00635,0.0013,0.0178,0.078,0,0,3,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
8,0.0005,0.0013,0.0005,50000,50000.01,0,0,0,10,1,0,0,0.00005,0.00025,-9.81,0,1,0,-1,3,,1,nan,-0.1,200,0.178,0.00635,0.0013,0.0178,0.078,0,0,3,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
9,0.0005,0.0013,0.0005,50000,50000.01,0,0,0,10,1,0,0,0.00005,0.001,-9.81,0,1,0,-1,3,,1,nan,-0.1,200,0.178,0.00635,0.0013,0.0178,0.078,0,0,3,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
10,0.0005,0.0013,0.0005,50000,50000.01,0,0,0,10,1,0,0,0.00005,0.0025,-9.81,0,1,0,-1,3,,1,nan,-0.1,200,0.178,0.00635,0.0013,0.0178,0.078,0,0,3,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
11,0.0005,0.0013,0.0005,50000,50000.01,0,0,0,10,1,0,0,0.00005,0.005,-9.81,0,1,0,-1,3,,1,nan,-0.1,200,0.178,0.00635,0.0013,0.0178,0.078,0,0,3,galerkin,0,200000000000,2,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
12,0.0005,0.0013,0.0005,2800,2801.55,0,0,0,10,1,0,0,0.00005,10000,-9.81,0,1,0,-1,3,,1,nan,-0.1,200,0.178,0.00635,0.0013,0.0178,0.078,0,0,3,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
13,0.0005,0.0013,0.0005,2800,2801.55,0,0,0,10,1,0,0,0.00005,1000,-9.81,0,1,0,-1,3,,1,nan,-0.1,200,0.178,0.00635,0.0013,0.0178,0.078,0,0,3,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
14,0.0005,0.0013,0.0005,2800,2801.55,0,0,0,10,1,0,0,0.00005,1000,-9.81,0,1,0,-1,3,,1,nan,-0.1,200,0.178,0.00635,0.0013,0.0178,0.078,0,0,3,galerkin,0,200000000000,1,0,1,0,uniform,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
