b bgt,box_x,box_y,box_z,f_sweep_start,f_sweep_stop,detuning_hz_sim_result,Q_sim_result,use_PLL,PLL_filter_BW_cycles,f_sweep_rate,orientation,periodic_bc,particle_dia,force_amp,grav_y,num_damping,damp_gravity,num_damp_fix,time_step,ball_gen_method,settled_packing,seed,packing_factor_bg8,verlet_dist,q_Factor,beam_length,beam_height,pocket_height,pocket_len,pocketLoc1,pocketLoc2,pocketLoc2_Y,mode_num,modal_method,beam_kappa,beam_young,solution_method,q_guess,force_method,base_excitation,distribution,restitution_coeff,cn,beta_n,wall_frict_angle,sphere_frict_angle,include_vel_scale,young_mod,poisson,normalCohesion,n_windows_per_pocket,sidewall_frict,Mindlin_Type,eta_roll,roll_frict,timestep_val,StokesDrag,BottomWallKFactor,DMT_gamma,DMT_cutoff,comment,,,,,,,,,,,,,,,,,,
1,0.0005,0.0013,0.0005,2800,2801.55,0,0,0,10,1,0,0,2.50E-05,100,-9.81,0,1,0,-1,8,,1,nan,-0.1,200,0.178,0.00635,0.0013,0.0178,0.078,0,0,3,galerkin,0,200000000000,1,0,1,0,normal,0,0,0,0,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
2,0.002,0.0008,0.00015,2800,2801.55,0,0,0,10,0,0,0,2.50E-05,0,-9.81,0,1,0,-1,8,,1,0.61275,,200,,,,,,,,3,,,,,,,0,normal,,,,,,,200000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.00025,0.0013,0.00025,2504.890753,2504.890753,0,0,0,10,0,0,7,2.50E-05,0,-9.81,0.002,1,0,-1,8,,1,0.61275,-0.1,600,0.178,0.00635,0.0013,0.0178,0.126,0,0,3,galerkin,0,160000000000,1,0,2,0.1,normal,0,0,0,0.25,0.25,0,20000000,0.7,0,1,0,0,0,0,0,0,1,0,0,June,19th,sine,dwell,baseline,+,top/bot,wall,friction,,,,,,,,,,
4,0.002,0.0008,0.00015,2504.890753,2504.890753,0,0,0,10,0,0,7,2.50E-05,0,-9.81,0.002,1,0,-1,8,,1,0.61275,-0.1,600,0.178,0.00635,0.0013,0.0178,0.126,0,0,3,galerkin,0,160000000000,1,0,2,0.1,normal,0,0,0,0.25,0.25,0,20000000,0.7,0,1,0,0,0,0,0,0,1,0,0,June,19th,sine,dwell,baseline,+,top/bot,wall,friction,,,,,,,,,,
5,0.0002,0.0008,0.00015,2504.890753,2504.890753,0,0,0,10,0,0,12,2.50E-05,0,-9.81,0.002,1,0,-1,8,,1,0.61275,-0.1,200,0.178,0.00635,0.0013,0.0178,0.126,0,0,3,galerkin,0,160000000000,1,0,2,0,normal,0,0,0,0.25,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,June,,,,,,,,,,,,,,,,,,
6,0.02,0.008,0.0015,2504.890753,2504.890753,0,0,0,10,0,0,12,2.50E-05,0,-9.81,0.002,1,0,-1,8,,1,0.61275,-0.1,200,0.178,0.00635,0.0013,0.0178,0.126,0,0,3,galerkin,0,160000000000,1,0,2,0,normal,0,0,0,0.25,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,June,,,,,,,,,,,,,,,,,,
7,0.0002,0.0008,0.00015,2504.890753,2504.890753,0,0,0,10,0,0,12,2.50E-05,100,-9.81,0.002,1,0,-1,8,,1,0.61275,-0.1,200,0.178,0.00635,0.0013,0.0178,0.126,0,0,3,galerkin,0,160000000000,1,0,1,0,normal,0,0,0,0.25,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,June,,,,,,,,,,,,,,,,,,
8,0.002,0.0008,0.00015,2504.890753,2504.890753,0,0,0,10,0,0,12,2.50E-05,100,-9.81,0.002,1,0,-1,8,,1,0.61275,-0.1,200,0.075,0.0025,0.0015,0.008,0.0425,0,0,3,galerkin,0,1.60E+11,1,0,1,0,normal,0,0,0,0.25,0.25,0,2.00E+11,0.7,0,1,0,0,0,0,0,0,1,0,0,June,,,,,,,,,,,,,,,,,,
9,0.00067,0.0008,0.00015,2504.890753,2504.890753,0,0,0,10,0,0,12,2.50E-05,100,-9.81,0.002,1,0,-1,8,,1,0.61275,-0.1,200,0.075,0.0025,0.0015,0.008,0.0425,0,0,3,galerkin,0,1.60E+11,1,0,1,0,normal,0,0,0,0.25,0.25,0,2.00E+11,0.7,0,1,0,0,0,0,0,0,1,0,0,June,,,,,,,,,,,,,,,,,,
10,0.0002,0.0008,0.00015,2504.890753,2504.890753,0,0,0,10,0,0,12,2.50E-05,100,-9.81,0.002,0,1,-1,8,,1,0.61275,-0.1,200,0.178,0.00635,0.0013,0.0178,0.126,0,0,3,galerkin,0,160000000000,1,0,1,1,normal,0,0,0,0.25,0.25,0,200000000000,0.7,0,1,0,0,0,0,0,0,1,0,0,June,,,,,,,,,,,,,,,,,,
